Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,Status
Single,2nd phase - general contingent,2,Nursing,Daytime,Secondary Edu,135.0,Portuguese,Basic Ed. 3rd Cycle,Basic Ed. 3rd Cycle,9,4,129.8,Yes,No,No,Yes,Female,No,18,No,0,7,8,7,13.175,0,0,8,8,8,14.875,0,13.9,-0.3,0.79,Graduate
Single,1st phase - general contingent,4,Nursing,Daytime,Secondary Edu,136.0,Portuguese,12th Year of Schooling,12th Year of Schooling,9,9,123.8,Yes,No,No,Yes,Female,Yes,19,No,0,8,8,7,13.314285714285717,0,0,8,8,7,13.314285714285717,0,12.7,3.7,-1.7,Graduate
Single,1st phase - general contingent,2,Management,Daytime,Secondary Edu,132.0,Portuguese,12th Year of Schooling,Basic Ed. 3rd Cycle,4,3,126.4,Yes,No,No,Yes,Female,Yes,18,No,0,5,13,3,10.6,0,0,5,12,3,10.5,0,13.9,-0.3,0.79,Graduate
Single,1st phase - general contingent,1,Basic Education,Daytime,Secondary Edu,120.0,Portuguese,Basic Ed. 3rd Cycle,Basic Ed. 1st Cycle,5,7,115.1,No,No,No,Yes,Female,Yes,18,No,0,6,11,4,12.0,0,0,6,8,4,10.75,0,15.5,2.8,-4.06,Enrolled
Single,1st phase - general contingent,1,Journalism and Communication,Daytime,Secondary Edu,144.0,Portuguese,Basic Ed. 1st Cycle,Basic Ed. 1st Cycle,8,8,138.4,No,No,No,Yes,Female,No,18,No,0,6,7,6,13.428571428571429,0,0,6,7,6,14.142857142857142,0,13.9,-0.3,0.79,Graduate
Single,2nd phase - general contingent,1,Veterinary Nursing,Daytime,Secondary Edu,129.0,Portuguese,12th Year of Schooling,Basic Ed. 1st Cycle,9,9,118.2,Yes,No,No,Yes,Female,Yes,18,No,0,5,7,4,13.25,0,0,5,8,5,15.571428571428571,0,10.8,1.4,1.74,Graduate
Single,2nd phase - general contingent,1,Communication Design,Daytime,Secondary Edu,136.0,Portuguese,Basic Ed. 2nd Cycle,Basic Ed. 3rd Cycle,7,7,121.7,Yes,No,No,Yes,Female,No,18,No,0,6,6,2,13.0,0,0,6,6,0,0.0,0,12.4,0.5,1.79,Dropout
Single,1st phase - general contingent,3,Communication Design,Daytime,Secondary Edu,125.0,Portuguese,12th Year of Schooling,Basic Ed. 2nd Cycle,9,7,118.0,No,No,No,Yes,Female,Yes,18,No,0,6,6,6,14.333333333333334,0,0,6,7,6,14.0,0,11.1,0.6,2.02,Enrolled
Single,2nd phase - general contingent,1,Social Service,Daytime,Secondary Edu,125.0,Portuguese,12th Year of Schooling,Basic Ed. 2nd Cycle,9,7,119.8,No,No,No,Yes,Female,No,18,No,0,6,0,0,0.0,0,0,6,0,0,0.0,0,11.1,0.6,2.02,Dropout
Single,1st phase - general contingent,1,Social Service,Daytime,Secondary Edu,154.0,Portuguese,12th Year of Schooling,Degree,4,2,164.9,No,No,No,Yes,Female,No,18,No,0,6,6,6,14.0,0,0,6,6,6,13.166666666666666,0,10.8,1.4,1.74,Graduate
Single,Transfer,1,Veterinary Nursing,Daytime,Secondary Edu,100.0,Portuguese,12th Year of Schooling,Basic Ed. 2nd Cycle,4,9,100.0,Yes,No,No,Yes,Female,Yes,20,No,1,2,2,2,12.0,0,1,6,11,6,12.833333333333334,0,13.9,-0.3,0.79,Graduate
Single,1st phase - general contingent,1,Basic Education,Daytime,Secondary Edu,124.0,Portuguese,Degree,12th Year of Schooling,2,5,121.6,No,No,No,Yes,Female,No,18,No,0,6,9,5,12.333333333333334,0,0,6,10,5,10.6,0,15.5,2.8,-4.06,Enrolled
Single,2nd phase - general contingent,4,Communication Design,Daytime,Secondary Edu,126.0,Portuguese,12th Year of Schooling,Basic Ed. 3rd Cycle,4,5,120.4,Yes,No,No,Yes,Female,No,18,No,0,6,8,5,11.8,0,0,6,7,5,10.4,1,16.2,0.3,-0.92,Graduate
Single,3rd phase - general contingent,6,Nursing,Daytime,Secondary Edu,124.0,Portuguese,Basic Ed. 1st Cycle,Basic Ed. 1st Cycle,9,7,117.8,No,No,No,Yes,Female,Yes,20,No,0,8,8,7,12.791428571428572,1,0,8,8,7,12.791428571428572,1,10.8,1.4,1.74,Graduate
Divorced,Change of course,1,Advertising and Marketing Management,Daytime,Secondary Edu,150.0,Portuguese,Basic Ed. 1st Cycle,Basic Ed. 1st Cycle,9,6,110.0,No,No,No,Yes,Female,No,40,No,4,8,8,8,11.625,0,3,7,12,5,11.2,0,9.4,-0.8,-3.12,Graduate
Single,1st phase - general contingent,6,Nursing,Daytime,Secondary Edu,133.0,Portuguese,Basic Ed. 2nd Cycle,Basic Ed. 2nd Cycle,9,9,128.8,Yes,No,No,Yes,Female,Yes,18,No,0,7,11,6,11.994444444444444,0,0,8,11,7,12.43142857142857,0,15.5,2.8,-4.06,Graduate
Single,1st phase - general contingent,5,Tourism,Daytime,Secondary Edu,126.0,Portuguese,Basic Ed. 3rd Cycle,Basic Ed. 3rd Cycle,4,7,116.6,Yes,No,No,Yes,Female,No,19,No,0,6,9,5,11.6,0,0,6,12,5,12.2,0,13.9,-0.3,0.79,Graduate
Single,Holders of other higher courses,1,Management (evening attendance),Evening,Degree (1st cycle),120.0,Portuguese,12th Year of Schooling,Basic Ed. 3rd Cycle,4,9,120.0,No,No,No,Yes,Female,No,24,No,0,5,5,0,0.0,0,0,5,6,0,0.0,0,12.4,0.5,1.79,Dropout
Single,1st phase - general contingent,3,Journalism and Communication,Daytime,Secondary Edu,175.0,Portuguese,Degree,Basic Ed. 2nd Cycle,2,10,157.5,Yes,No,No,Yes,Female,No,19,No,0,6,8,6,13.166666666666666,0,0,6,7,6,13.166666666666666,0,10.8,1.4,1.74,Dropout
Single,1st phase - general contingent,6,Nursing,Daytime,Secondary Edu,141.0,Portuguese,Bachelor's Degree,12th Year of Schooling,4,4,136.3,Yes,No,No,Yes,Female,No,19,No,0,8,8,7,14.1,0,0,8,8,7,14.1,0,10.8,1.4,1.74,Graduate
Single,1st phase - general contingent,1,Nursing,Daytime,Secondary Edu,133.0,Portuguese,12th Year of Schooling,Basic Ed. 3rd Cycle,9,6,121.5,Yes,No,No,Yes,Female,Yes,20,No,0,7,8,6,12.396666666666668,0,0,8,9,7,12.94285714285714,0,11.1,0.6,2.02,Graduate
Single,1st phase - general contingent,1,Nursing,Daytime,Secondary Edu,143.0,Portuguese,Basic Ed. 2nd Cycle,Basic Ed. 2nd Cycle,5,5,133.9,No,No,No,Yes,Female,No,18,No,0,7,7,7,15.014285714285714,0,0,8,8,8,16.0875,0,12.4,0.5,1.79,Graduate
Single,1st phase - general contingent,1,Animation and Multimedia Design,Daytime,Secondary Edu,141.0,Portuguese,12th Year of Schooling,Basic Ed. 2nd Cycle,4,8,136.8,Yes,No,No,Yes,Female,Yes,18,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,13.9,-0.3,0.79,Graduate
Single,2nd phase - general contingent,2,Nursing,Daytime,Secondary Edu,134.0,Portuguese,Basic Ed. 3rd Cycle,Basic Ed. 1st Cycle,4,7,133.5,Yes,No,No,Yes,Female,No,19,No,0,7,8,7,14.05,0,0,8,8,8,15.1,0,13.9,-0.3,0.79,Graduate
Single,2nd phase - general contingent,3,Nursing,Daytime,Secondary Edu,138.0,Portuguese,Degree,Degree,4,5,130.0,Yes,No,No,Yes,Female,No,18,No,0,7,8,7,14.85,0,0,8,8,8,15.2,0,13.9,-0.3,0.79,Dropout
Single,Technological specialization diploma holders,1,Veterinary Nursing,Daytime,Tech Specialization Course,140.0,Portuguese,Degree,Degree,2,2,140.0,Yes,No,No,Yes,Female,No,19,No,0,6,10,6,13.0,0,0,6,19,5,13.0,0,12.4,0.5,1.79,Graduate
Single,1st phase - general contingent,2,Nursing,Daytime,Secondary Edu,142.0,Portuguese,Basic Ed. 1st Cycle,Basic Ed. 1st Cycle,9,7,132.7,Yes,No,No,Yes,Female,Yes,19,No,0,7,8,7,14.7875,0,0,8,8,8,15.8625,0,13.9,-0.3,0.79,Graduate
Single,1st phase - general contingent,1,Nursing,Daytime,Secondary Edu,118.0,Portuguese,Basic Ed. 3rd Cycle,Basic Ed. 3rd Cycle,5,7,117.8,No,No,No,Yes,Female,Yes,19,No,0,7,7,7,13.7,0,0,8,9,7,14.671428571428574,0,12.4,0.5,1.79,Graduate
Single,1st phase - general contingent,2,Nursing,Daytime,Secondary Edu,131.0,Portuguese,12th Year of Schooling,Basic Ed. 1st Cycle,4,4,126.1,Yes,No,No,Yes,Female,Yes,19,No,0,7,7,7,12.495714285714286,0,0,8,9,7,12.242857142857144,0,11.1,0.6,2.02,Dropout
Single,1st phase - general contingent,1,Nursing,Daytime,Secondary Edu,130.0,Portuguese,12th Year of Schooling,Basic Ed. 2nd Cycle,1,7,120.0,No,No,No,Yes,Female,No,19,No,0,7,7,6,14.566666666666668,0,0,7,7,6,14.566666666666668,0,7.6,2.6,0.32,Graduate
Single,Over 23 years old,1,Advertising and Marketing Management,Daytime,Other - 11th School,133.1,Portuguese,12th Year of Schooling,Basic Ed. 3rd Cycle,1,5,100.0,Yes,No,Yes,No,Female,No,25,No,0,5,5,5,11.2,0,0,5,5,4,11.25,0,9.4,-0.8,-3.12,Dropout
Single,1st phase - general contingent,1,Nursing,Daytime,Secondary Edu,130.0,Portuguese,Basic Ed. 3rd Cycle,Basic Ed. 3rd Cycle,4,10,116.8,No,No,No,Yes,Female,No,20,No,0,8,8,7,12.685714285714283,0,0,8,8,7,12.685714285714283,0,12.7,3.7,-1.7,Graduate
Single,Short cycle diploma holders,1,Social Service,Daytime,Prof. Higher Course,130.0,Portuguese,12th Year of Schooling,Basic Ed. 3rd Cycle,5,5,128.3,No,No,Yes,No,Female,No,23,No,5,9,12,7,13.571428571428571,0,4,9,14,4,13.25,0,8.9,1.4,3.51,Dropout
Single,1st phase - general contingent,1,Communication Design,Daytime,Secondary Edu,133.1,Portuguese,Basic Ed. 3rd Cycle,Basic Ed. 3rd Cycle,7,7,117.0,No,No,No,Yes,Female,No,20,No,0,6,0,0,0.0,0,0,6,0,0,0.0,0,15.5,2.8,-4.06,Dropout
Single,Over 23 years old,1,Social Service (evening attendance),Evening,Secondary Edu,130.0,Portuguese,Basic Ed. 1st Cycle,7th Year (Old),9,10,131.5,No,No,No,Yes,Female,No,27,No,0,6,8,5,11.0,0,0,6,7,6,11.166666666666666,0,11.1,0.6,2.02,Graduate
Single,1st phase - general contingent,1,Nursing,Daytime,Secondary Edu,149.0,Portuguese,Basic Ed. 3rd Cycle,12th Year of Schooling,4,4,134.8,No,No,No,Yes,Female,No,18,No,0,8,8,8,14.445,0,0,8,8,8,14.445,0,9.4,-0.8,-3.12,Graduate
Single,1st phase - general contingent,1,Basic Education,Daytime,Secondary Edu,163.0,Portuguese,Basic Ed. 3rd Cycle,12th Year of Schooling,5,10,146.6,Yes,No,Yes,Yes,Female,No,18,No,0,6,9,5,13.6,0,0,6,10,4,11.75,0,9.4,-0.8,-3.12,Enrolled
Single,Holders of other higher courses,1,Social Service (evening attendance),Evening,Degree (1st cycle),130.0,Portuguese,Basic Ed. 3rd Cycle,12th Year of Schooling,5,10,130.0,Yes,No,Yes,No,Female,No,23,No,7,12,12,11,14.0,0,4,10,11,8,14.625,0,13.9,-0.3,0.79,Dropout
Single,1st phase - general contingent,6,Nursing,Daytime,Secondary Edu,145.0,Portuguese,Basic Ed. 2nd Cycle,Basic Ed. 1st Cycle,5,6,127.5,Yes,No,No,Yes,Female,Yes,19,No,0,7,7,6,13.416666666666666,0,0,7,7,6,13.416666666666666,0,7.6,2.6,0.32,Graduate
Single,1st phase - general contingent,1,Management,Daytime,Secondary Edu,130.0,Portuguese,Basic Ed. 1st Cycle,Basic Ed. 2nd Cycle,3,3,123.0,No,No,No,Yes,Female,No,18,No,0,5,8,5,12.333333333333334,2,0,5,7,5,11.4,0,15.5,2.8,-4.06,Graduate
Single,Change of course,1,Nursing,Daytime,Secondary Edu,128.0,Portuguese,12th Year of Schooling,Basic Ed. 3rd Cycle,9,8,100.0,Yes,No,No,Yes,Female,No,20,No,0,7,8,7,13.1,0,0,8,8,8,14.8125,0,13.9,-0.3,0.79,Graduate
Single,1st phase - general contingent,2,Advertising and Marketing Management,Daytime,Secondary Edu,111.0,Portuguese,Basic Ed. 3rd Cycle,Basic Ed. 3rd Cycle,9,9,114.2,Yes,No,No,Yes,Female,No,18,No,0,6,9,4,13.2,0,0,6,10,5,12.8,0,12.4,0.5,1.79,Graduate
Single,1st phase - general contingent,1,Nursing,Daytime,Secondary Edu,140.0,Portuguese,12th Year of Schooling,12th Year of Schooling,4,4,123.5,Yes,No,No,Yes,Female,Yes,19,No,0,8,8,8,14.75,0,0,8,8,8,14.75,0,9.4,-0.8,-3.12,Graduate
Single,Technological specialization diploma holders,1,Social Service,Daytime,Tech Specialization Course,140.0,Portuguese,Basic Ed. 3rd Cycle,Basic Ed. 3rd Cycle,8,8,144.3,Yes,No,No,Yes,Female,Yes,19,No,3,6,7,6,13.142857142857142,0,2,6,6,6,14.333333333333334,0,12.4,0.5,1.79,Graduate
Single,1st phase - general contingent,1,Basic Education,Daytime,Secondary Edu,145.0,Portuguese,Basic Ed. 2nd Cycle,Basic Ed. 1st Cycle,5,5,142.2,No,No,No,Yes,Female,No,19,No,0,6,9,4,12.5,0,0,6,9,5,12.5,0,9.4,-0.8,-3.12,Enrolled
Single,1st phase - general contingent,1,Veterinary Nursing,Daytime,Secondary Edu,151.0,Portuguese,Degree,Degree,1,90,161.9,No,No,No,Yes,Female,No,18,No,0,5,6,4,13.75,0,0,5,8,5,14.857142857142858,0,7.6,2.6,0.32,Graduate
Single,1st phase - general contingent,1,Social Service,Daytime,Secondary Edu,132.0,Portuguese,Basic Ed. 1st Cycle,Basic Ed. 1st Cycle,9,5,135.9,No,No,No,Yes,Female,No,18,No,0,6,11,5,12.4,0,0,6,7,6,13.0,0,9.4,-0.8,-3.12,Graduate
Single,1st phase - general contingent,2,Journalism and Communication,Daytime,Secondary Edu,116.0,Portuguese,Basic Ed. 3rd Cycle,Basic Ed. 3rd Cycle,4,7,110.1,Yes,No,No,Yes,Female,No,18,No,0,6,6,6,13.333333333333334,0,0,6,6,6,12.0,0,11.1,0.6,2.02,Graduate
Single,Ordinance No. 612/93,1,Basic Education,Daytime,Secondary Edu,120.0,Portuguese,Basic Ed. 3rd Cycle,Basic Ed. 2nd Cycle,9,9,122.5,No,No,No,No,Female,No,28,No,11,11,11,11,11.727272727272728,0,8,8,8,8,12.0,0,15.5,2.8,-4.06,Dropout
Single,2nd phase - general contingent,1,Tourism,Daytime,Secondary Edu,158.0,Portuguese,Basic Ed. 1st Cycle,Basic Ed. 1st Cycle,5,9,138.1,Yes,No,No,Yes,Female,No,19,No,0,6,8,4,12.5,0,0,6,11,1,14.0,0,7.6,2.6,0.32,Dropout
Single,Change of course,1,Animation and Multimedia Design,Daytime,Secondary Edu,116.0,Portuguese,Degree,12th Year of Schooling,2,3,117.3,Yes,No,Yes,Yes,Female,No,20,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,13.9,-0.3,0.79,Dropout
Single,1st phase - general contingent,2,Nursing,Daytime,Secondary Edu,112.0,Portuguese,12th Year of Schooling,Basic Ed. 1st Cycle,4,9,106.8,Yes,No,No,Yes,Female,Yes,19,No,0,7,8,6,13.533333333333331,0,0,8,9,7,13.614285714285714,0,12.4,0.5,1.79,Graduate
Single,1st phase - general contingent,1,Communication Design,Daytime,Secondary Edu,126.0,Portuguese,12th Year of Schooling,Basic Ed. 3rd Cycle,4,0,120.1,No,Yes,No,Yes,Female,Yes,20,No,0,6,6,6,13.166666666666666,0,0,6,6,6,12.666666666666666,0,11.1,0.6,2.02,Graduate
Single,1st phase - general contingent,2,Tourism,Daytime,Secondary Edu,120.0,Portuguese,Basic Ed. 3rd Cycle,Basic Ed. 3rd Cycle,9,9,116.5,Yes,No,No,Yes,Female,Yes,19,No,0,6,9,5,13.2,0,0,6,8,5,11.0,0,12.4,0.5,1.79,Graduate
Single,Change of institution/course,1,Communication Design,Daytime,Secondary Edu,117.0,Portuguese,Doctorate,12th Year of Schooling,2,10,120.0,Yes,No,No,Yes,Female,No,21,No,0,6,7,5,12.2,0,0,6,7,4,12.6,0,8.9,1.4,3.51,Enrolled
Single,1st phase - general contingent,1,Basic Education,Daytime,Secondary Edu,153.0,Portuguese,12th Year of Schooling,Basic Ed. 3rd Cycle,9,4,139.7,Yes,No,No,Yes,Female,Yes,19,No,0,7,7,7,13.428571428571429,0,0,7,7,7,14.857142857142858,0,11.1,0.6,2.02,Graduate
Single,1st phase - general contingent,2,Communication Design,Daytime,Secondary Edu,124.0,Portuguese,Basic Ed. 3rd Cycle,12th Year of Schooling,9,3,123.7,Yes,No,No,Yes,Female,Yes,18,No,1,6,8,6,12.714285714285714,1,0,6,8,6,12.625,0,13.9,-0.3,0.79,Graduate
Single,2nd phase - general contingent,2,Equinculture,Daytime,Secondary Edu,127.0,Portuguese,Degree,12th Year of Schooling,2,1,116.5,No,No,No,Yes,Female,No,19,No,0,6,0,0,0.0,0,0,6,0,0,0.0,0,15.5,2.8,-4.06,Dropout
Single,2nd phase - general contingent,1,Advertising and Marketing Management,Daytime,Secondary Edu,126.0,Portuguese,Other - 11th Year,Basic Ed. 2nd Cycle,9,5,122.2,No,No,No,Yes,Female,Yes,19,No,0,6,6,6,13.666666666666666,0,0,6,9,6,13.666666666666666,0,8.9,1.4,3.51,Graduate
Single,1st phase - general contingent,1,Journalism and Communication,Daytime,Secondary Edu,133.1,Portuguese,Basic Ed. 2nd Cycle,Basic Ed. 3rd Cycle,132,103,146.0,No,No,Yes,Yes,Female,No,20,No,0,6,6,5,11.0,0,0,6,6,6,13.166666666666666,0,16.2,0.3,-0.92,Graduate
Single,2nd phase - general contingent,2,Basic Education,Daytime,Secondary Edu,114.0,Portuguese,12th Year of Schooling,12th Year of Schooling,4,0,108.8,Yes,No,No,Yes,Female,No,18,No,0,7,11,5,11.4,0,0,7,9,6,13.333333333333334,0,13.9,-0.3,0.79,Enrolled
Single,Change of course,1,Animation and Multimedia Design,Daytime,Secondary Edu,133.0,Portuguese,Basic Ed. 3rd Cycle,Basic Ed. 3rd Cycle,5,7,133.0,No,No,No,Yes,Female,No,18,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,15.5,2.8,-4.06,Enrolled
Single,2nd phase - general contingent,1,Equinculture,Daytime,Secondary Edu,130.0,Portuguese,12th Year of Schooling,12th Year of Schooling,4,5,123.8,No,No,No,Yes,Female,No,18,No,0,5,7,4,12.0,0,0,5,6,5,12.0,0,7.6,2.6,0.32,Graduate
Single,2nd phase - general contingent,3,Journalism and Communication,Daytime,Secondary Edu,127.0,Portuguese,Basic Ed. 3rd Cycle,Basic Ed. 3rd Cycle,5,8,120.0,No,No,No,Yes,Female,No,18,No,0,6,6,0,0.0,0,0,6,0,0,0.0,0,8.9,1.4,3.51,Dropout
Single,2nd phase - general contingent,3,Social Service,Daytime,Secondary Edu,143.0,Portuguese,Basic Ed. 1st Cycle,Basic Ed. 2nd Cycle,0,7,126.9,Yes,No,No,Yes,Female,No,18,No,0,6,14,5,11.0,0,0,6,6,6,11.666666666666666,0,7.6,2.6,0.32,Graduate
Single,3rd phase - general contingent,4,Journalism and Communication,Daytime,Secondary Edu,130.0,Portuguese,Basic Ed. 3rd Cycle,Basic Ed. 3rd Cycle,4,4,121.3,Yes,No,No,Yes,Female,No,20,No,0,6,12,5,12.0,0,0,6,8,6,11.571428571428571,0,15.5,2.8,-4.06,Dropout
Single,2nd phase - general contingent,3,Nursing,Daytime,Secondary Edu,136.0,Portuguese,Basic Ed. 3rd Cycle,12th Year of Schooling,9,9,129.0,Yes,No,No,Yes,Female,Yes,19,No,0,7,7,7,13.308571428571428,0,0,8,10,8,12.55,0,12.4,0.5,1.79,Graduate
Single,1st phase - general contingent,1,Basic Education,Daytime,Secondary Edu,125.0,Portuguese,Basic Ed. 1st Cycle,Basic Ed. 1st Cycle,9,9,114.9,Yes,No,Yes,No,Female,No,21,No,0,6,8,3,13.666666666666666,0,0,6,7,3,10.666666666666666,0,15.5,2.8,-4.06,Dropout
Single,2nd phase - general contingent,1,Advertising and Marketing Management,Daytime,Degree,110.0,Portuguese,Other - 11th Year,Degree,5,8,106.5,Yes,No,Yes,No,Female,No,20,No,0,6,6,0,0.0,0,0,6,9,0,0.0,0,10.8,1.4,1.74,Dropout
Single,1st phase - general contingent,1,Tourism,Daytime,Secondary Edu,130.0,Portuguese,Basic Ed. 1st Cycle,Basic Ed. 2nd Cycle,9,9,133.9,Yes,No,No,Yes,Female,No,18,No,0,6,10,5,12.2,0,0,6,8,4,11.25,0,9.4,-0.8,-3.12,Graduate
Single,1st phase - general contingent,1,Journalism and Communication,Daytime,Secondary Edu,135.0,Portuguese,12th Year of Schooling,Master's,5,3,124.9,No,No,No,Yes,Female,Yes,20,No,0,6,7,6,12.666666666666666,0,0,6,6,6,12.833333333333334,0,10.8,1.4,1.74,Graduate
Single,1st phase - general contingent,2,Nursing,Daytime,Secondary Edu,133.0,Portuguese,Basic Ed. 3rd Cycle,Basic Ed. 1st Cycle,1,9,128.5,Yes,No,No,Yes,Female,Yes,19,No,0,8,8,8,14.07125,0,0,8,8,8,14.07125,0,9.4,-0.8,-3.12,Graduate
Single,1st phase - general contingent,1,Veterinary Nursing,Daytime,Freq Higher Edu,122.0,Portuguese,Basic Ed. 3rd Cycle,Basic Ed. 3rd Cycle,9,9,126.2,Yes,No,No,Yes,Female,No,22,No,0,5,14,4,14.25,3,0,5,9,5,13.2,4,9.4,-0.8,-3.12,Dropout
Single,2nd phase - general contingent,1,Equinculture,Daytime,Secondary Edu,122.0,Portuguese,Basic Ed. 3rd Cycle,Basic Ed. 3rd Cycle,9,9,121.7,Yes,No,No,No,Female,No,22,No,0,6,0,0,0.0,0,0,2,2,0,0.0,2,9.4,-0.8,-3.12,Dropout
Single,1st phase - general contingent,2,Basic Education,Daytime,Secondary Edu,121.0,Portuguese,Basic Ed. 2nd Cycle,Basic Ed. 2nd Cycle,7,5,120.0,Yes,No,No,Yes,Female,No,18,No,0,6,10,3,12.0,0,0,6,8,4,10.25,0,10.8,1.4,1.74,Enrolled
Single,Change of course,1,Management,Daytime,Secondary Edu,123.0,Portuguese,Degree,Basic Ed. 3rd Cycle,9,9,113.2,No,No,No,Yes,Female,No,21,No,3,10,18,6,11.166666666666666,2,4,10,16,7,10.571428571428571,0,7.6,2.6,0.32,Enrolled
Single,1st phase - general contingent,1,Social Service,Daytime,Secondary Edu,128.0,Portuguese,Basic Ed. 3rd Cycle,Basic Ed. 3rd Cycle,0,5,120.3,Yes,No,No,Yes,Female,No,19,No,0,6,12,2,13.0,0,0,6,8,5,11.6,0,7.6,2.6,0.32,Graduate
Single,1st phase - general contingent,4,Animation and Multimedia Design,Daytime,Secondary Edu,139.0,Portuguese,Basic Ed. 1st Cycle,Basic Ed. 2nd Cycle,9,9,127.8,Yes,No,No,Yes,Female,No,19,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Dropout
Single,1st phase - general contingent,2,Nursing,Daytime,Secondary Edu,124.0,Portuguese,Unknown,Unknown,0,0,123.3,Yes,No,No,Yes,Female,Yes,20,No,0,8,8,7,14.901428571428571,1,0,8,8,7,14.901428571428571,1,9.4,-0.8,-3.12,Dropout
Single,1st phase - general contingent,3,Nursing,Daytime,Secondary Edu,135.0,Portuguese,Basic Ed. 2nd Cycle,Basic Ed. 3rd Cycle,8,8,126.3,Yes,No,Yes,Yes,Female,Yes,18,No,0,7,8,7,12.65,0,0,8,9,8,12.445555555555554,0,15.5,2.8,-4.06,Graduate
Single,Change of institution/course,1,Management (evening attendance),Evening,Prof. Higher Course,110.0,Portuguese,Basic Ed. 3rd Cycle,Basic Ed. 1st Cycle,5,9,128.2,No,No,No,No,Female,No,22,No,7,12,12,7,11.0,0,5,5,5,5,10.6,0,8.9,1.4,3.51,Dropout
Single,2nd phase - general contingent,4,Veterinary Nursing,Daytime,Secondary Edu,138.0,Portuguese,Basic Ed. 3rd Cycle,Can Read (No 4th Year),90,7,134.9,Yes,No,No,Yes,Female,No,20,No,0,5,7,4,12.4,0,0,5,9,5,12.666666666666666,0,7.6,2.6,0.32,Graduate
Single,Technological specialization diploma holders,1,Agronomy,Daytime,Tech Specialization Course,140.0,Portuguese,Basic Ed. 2nd Cycle,Basic Ed. 2nd Cycle,6,6,140.0,No,No,No,Yes,Female,No,19,No,0,6,7,6,12.0,0,0,6,7,6,12.666666666666666,0,12.4,0.5,1.79,Graduate
Single,1st phase - general contingent,5,Nursing,Daytime,Secondary Edu,126.0,Portuguese,12th Year of Schooling,Basic Ed. 3rd Cycle,6,7,115.5,Yes,No,No,Yes,Female,Yes,19,No,0,7,8,7,12.135714285714286,0,0,8,10,7,13.328571428571427,0,12.4,0.5,1.79,Graduate
Single,1st phase - general contingent,2,Nursing,Daytime,Secondary Edu,113.0,Portuguese,Basic Ed. 2nd Cycle,Basic Ed. 3rd Cycle,9,7,106.7,Yes,No,No,Yes,Female,Yes,20,No,0,7,10,5,12.62,0,0,7,8,6,12.5,0,11.1,0.6,2.02,Enrolled
Single,Over 23 years old,1,Management (evening attendance),Evening,Secondary Edu,120.0,Portuguese,Basic Ed. 2nd Cycle,Basic Ed. 2nd Cycle,3,3,140.0,No,No,No,Yes,Female,No,25,No,0,5,11,3,10.666666666666666,0,0,5,11,3,11.333333333333334,0,15.5,2.8,-4.06,Enrolled
Single,1st phase - general contingent,1,Nursing,Daytime,Secondary Edu,145.0,Portuguese,Basic Ed. 3rd Cycle,Basic Ed. 3rd Cycle,9,7,136.6,No,No,No,Yes,Female,Yes,19,No,0,7,12,6,13.766666666666666,0,0,8,10,7,14.051428571428572,0,15.5,2.8,-4.06,Graduate
Single,3rd phase - general contingent,1,Nursing,Daytime,Secondary Edu,124.0,Portuguese,Basic Ed. 2nd Cycle,Basic Ed. 1st Cycle,9,7,119.3,Yes,No,No,Yes,Female,No,19,No,0,8,8,8,13.11625,0,0,8,8,8,13.11625,0,9.4,-0.8,-3.12,Graduate
Single,1st phase - general contingent,1,Communication Design,Daytime,Secondary Edu,160.0,Portuguese,Degree,Basic Ed. 2nd Cycle,1,9,152.0,Yes,No,No,No,Female,No,19,No,0,5,5,0,0.0,0,0,6,0,0,0.0,0,10.8,1.4,1.74,Dropout
Single,1st phase - general contingent,1,Nursing,Daytime,Secondary Edu,138.0,Portuguese,Basic Ed. 2nd Cycle,Basic Ed. 3rd Cycle,9,5,144.3,No,No,No,Yes,Female,No,20,No,0,7,9,6,12.7,0,0,8,8,7,13.571428571428571,0,13.9,-0.3,0.79,Graduate
Single,Over 23 years old,2,Oral Hygiene,Daytime,Secondary Edu,130.0,Portuguese,Basic Ed. 1st Cycle,Basic Ed. 1st Cycle,9,9,159.0,Yes,No,No,Yes,Female,No,25,No,0,7,11,7,11.857142857142858,0,0,8,21,5,11.7,0,12.4,0.5,1.79,Enrolled
